CASSA,SERIE,DATA_ORA,POOL,ID_IMPIANTO,ID_LETTORE
74,86478,26/02/2006 9.43.00,1,175,1
74,86474,26/02/2006 9.43.00,1,175,4
61,34528,26/02/2006 9.43.00,1,175,3
95,4605,26/02/2006 9.43.00,1,175,3
74,86477,26/02/2006 9.43.00,1,175,3
80,25631,26/02/2006 9.43.00,1,175,1
61,34527,26/02/2006 9.43.00,1,175,2
61,34526,26/02/2006 9.43.00,1,175,3
80,25623,26/02/2006 9.44.00,1,175,3
74,86475,26/02/2006 9.44.00,1,175,3
91,82575,26/02/2006 9.44.00,1,175,2
74,86479,26/02/2006 9.44.00,1,175,4
74,86480,26/02/2006 9.44.00,1,175,1
75,28710,26/02/2006 9.44.00,1,175,1
75,28706,26/02/2006 9.44.00,1,175,3
75,28704,26/02/2006 9.44.00,1,175,2
80,25625,26/02/2006 9.44.00,1,175,3
75,16630,26/02/2006 9.44.00,1,175,2
72,23280,26/02/2006 9.44.00,1,175,2
91,82576,26/02/2006 9.45.00,1,175,1
82,10916,26/02/2006 9.45.00,1,175,2
82,10915,26/02/2006 9.45.00,1,175,1
74,86440,26/02/2006 9.45.00,1,175,3
72,23138,26/02/2006 9.45.00,311,175,2
91,82541,26/02/2006 9.45.00,311,175,1
75,28546,26/02/2006 9.45.00,1,175,2
91,82569,26/02/2006 9.45.00,1,175,4
74,86317,26/02/2006 9.45.00,1,175,1
74,86321,26/02/2006 9.45.00,1,175,2
91,82562,26/02/2006 9.45.00,1,175,1
91,82540,26/02/2006 9.45.00,311,175,2
91,82563,26/02/2006 9.45.00,1,175,3
84,18986,26/02/2006 9.45.00,1,175,4
91,82539,26/02/2006 9.45.00,311,175,2
74,85729,26/02/2006 9.45.00,1,175,3
72,23137,26/02/2006 9.45.00,1,175,1
75,28685,26/02/2006 9.45.00,1,175,2
74,86439,26/02/2006 9.45.00,1,175,4
75,28687,26/02/2006 9.45.00,1,175,1
91,82570,26/02/2006 9.45.00,1,175,2
80,25627,26/02/2006 9.45.00,1,175,3
91,82561,26/02/2006 9.45.00,1,175,3
80,25626,26/02/2006 9.45.00,1,175,3
91,82564,26/02/2006 9.45.00,1,175,4
75,28545,26/02/2006 9.45.00,1,175,4
75,28708,26/02/2006 9.45.00,1,175,4
71,15414,26/02/2006 9.46.00,1,175,1
71,15419,26/02/2006 9.46.00,1,175,2
75,28544,26/02/2006 9.46.00,1,175,3
213,1750,26/02/2006 9.46.00,1,175,4
71,15418,26/02/2006 9.46.00,1,175,4
213,1752,26/02/2006 9.46.00,1,175,4
71,15415,26/02/2006 9.47.00,1,175,3
71,15417,26/02/2006 9.47.00,1,175,1
91,82905,26/02/2006 9.47.00,1,175,3
91,82906,26/02/2006 9.47.00,1,175,2
91,82904,26/02/2006 9.47.00,1,175,3
91,82907,26/02/2006 9.47.00,1,175,1
91,81764,26/02/2006 9.47.00,1,175,2
41,30798,26/02/2006 9.47.00,1,175,2
71,15416,26/02/2006 9.47.00,1,175,2
213,1751,26/02/2006 9.47.00,1,175,4
201,15515,26/02/2006 9.47.00,1,175,3
71,15420,26/02/2006 9.47.00,1,175,2
72,23559,26/02/2006 9.48.00,1,175,4
186,2324,26/02/2006 9.48.00,1,175,2
74,53920,26/02/2006 9.48.00,1,175,4
74,53794,26/02/2006 9.48.00,311,175,2
208,21876,26/02/2006 9.48.00,1,175,2
73,24384,26/02/2006 9.48.00,314,175,3
208,21878,26/02/2006 9.48.00,1,175,1
208,21877,26/02/2006 9.48.00,1,175,1
72,23557,26/02/2006 9.48.00,1,175,3
186,2329,26/02/2006 9.48.00,1,175,4
74,84430,26/02/2006 9.48.00,311,175,2
208,21879,26/02/2006 9.49.00,1,175,2
91,82456,26/02/2006 9.49.00,1,175,3
208,21890,26/02/2006 9.49.00,1,175,3
186,2328,26/02/2006 9.49.00,1,175,4
208,21891,26/02/2006 9.49.00,1,175,2
90,24198,26/02/2006 9.49.00,311,175,2
84,30604,26/02/2006 9.50.00,1,175,4
90,24194,26/02/2006 9.50.00,311,175,2
90,24183,26/02/2006 9.50.00,311,175,1
91,82457,26/02/2006 9.50.00,1,175,3
90,24189,26/02/2006 9.50.00,311,175,1
80,16306,26/02/2006 9.50.00,1,175,3
90,24193,26/02/2006 9.50.00,311,175,3
84,30605,26/02/2006 9.50.00,1,175,4
90,24190,26/02/2006 9.50.00,311,175,3
90,24195,26/02/2006 9.50.00,311,175,2
90,24192,26/02/2006 9.50.00,311,175,1
90,24188,26/02/2006 9.50.00,311,175,4
90,24191,26/02/2006 9.50.00,311,175,2
241,11972,26/02/2006 9.50.00,1,175,3
90,24201,26/02/2006 9.50.00,311,175,2
80,16307,26/02/2006 9.50.00,1,175,4
145,64522,26/02/2006 9.50.00,1,175,3
